DECEMBER 2006 CRIME STATS - FREMON                                          
                                                                            
AUTO BURGLARY                                                               
             Location             Reported DateReceived Ti                  
2000 STEVENSON BL                    12/29/2006    0:00:00                  
4874 SENECA PARK AV                  12/30/2006    5:42:48                  
43241 GIOVANNI TR                    12/30/2006    0:00:00                  
                                                                            
RESIDENTIAL BURGLARY                                                        
46853 RANCHO HIGUERA RD              12/01/2006    8:19:26                  
45296 ELK CT                         12/02/2006    7:15:57                  
34851 POTOMAC RIVER PL               12/02/2006   10:22:42                  
4725 MALLARD CO                      12/04/2006   14:02:49                  
4120 MARGERY DR                      12/04/2006   14:02:14                  
34203 SIWARD DR                      12/04/2006   15:25:31                  
2327 VALORIE ST                      12/04/2006   18:26:54                  
38365 CANYON HEIGHTS DR              12/04/2006   16:01:12                  
43853 N MORAY ST                     12/04/2006   18:23:22                  
41976 HIGGINS WY                     12/04/2006   21:46:26                  
5404 BUCKNER TR                      12/04/2006   21:07:35                  
34367 TUPELO ST                      12/05/2006   20:19:47                  
35995 FREMONT BL                     12/06/2006    9:38:03                  
119 WENATCHEE CO                     12/06/2006   10:53:55                  
748 SUNRISE DR                       12/06/2006   23:30:01                  
336 GOLDENRAIN AV                    12/07/2006   10:29:14                  
5021 XAVIER CO                       12/07/2006   10:30:58                  
35583 CHAPLIN DR                     12/07/2006   16:18:39                  
37043 ELM ST                         12/07/2006   20:48:07                  
405 RANCHO ARROYO PK                 12/08/2006   16:07:09                  
35809 CARNATION WY                   12/08/2006   17:05:55                  
32864 BASS LAKE ST                   12/08/2006   18:39:11                  
38684 KIMBRO ST                      12/09/2006   11:10:16                  
4240 ALDER AV                        12/10/2006    0:02:07                  
42700 ALBRAE ST                      12/09/2006    0:00:00                  
48980 TULARE DR                      12/11/2006   15:47:33                  
34555 PUEBLO TR                      12/11/2006   15:40:50                  
212 WOODCREEK TR                     12/11/2006   17:51:31                  
255 QUINAULT WY                      12/11/2006   18:17:36                  
5388 SHAMROCK CO                     12/11/2006   21:15:53                  
2908 SANDERLING DR                   12/12/2006    6:59:46                  
47480 CHOLLA ST                      12/12/2006    8:46:49                  
3328 KESTREL PL                      12/12/2006    9:09:09                  
380 LOWER VINTNERS CI                12/12/2006   19:03:44                  
45536 ANTELOPE DR                    12/12/2006   19:03:44                  
4546 MACBETH AV                      12/13/2006   18:57:23                  
4499 MACBETH AV                      12/13/2006   20:47:47                  
34304 EUCALYPTUS TR                  12/14/2006    3:47:18                  
43344 ARKWOOD ST                     12/14/2006    9:46:25                  
4852 TOUCHSTONE TR                   12/14/2006   12:29:27                  
232 MANITOBA GR                      12/14/2006   16:39:51                  
228 HACKAMORE CO                     12/15/2006   15:20:33                  
3417 PENNSYLVANIA CO                 12/15/2006   17:06:07                  
39812 MISSION BL                     12/18/2006    8:06:11                  
46624 WINDMILL DR                    12/18/2006    8:14:10                  
1901 CURTNER RD                      12/17/2006    0:00:00                  
42101 ALBRAE ST                      12/18/2006    0:00:00                  
42529 CHARLESTON WY                  12/19/2006    0:00:00                  
4679 HAMPSHIRE WY                    12/20/2006   13:45:09                  
4890 HUFFMAN TR                      12/20/2006   17:53:04                  
34413 WELLMAN TR                     12/20/2006   18:50:22                  
4905 YELLOWSTONE PARK DR             12/21/2006   15:02:27                  
3150 BEARD RD                        12/21/2006   16:00:56                  
3175 BEARD RD                        12/21/2006   17:34:36                  
33851 JULIET CI                      12/22/2006   15:48:17                  
4205 MOWRY AV                        12/22/2006   16:19:16                  
3545 SUTTON LP                       12/22/2006   16:27:37                  
4282 PARKHURST TR                    12/22/2006   17:24:42                  
37800 CAMDEN ST                      12/22/2006   19:04:30                  
4683 ROUSILLON AV                    12/23/2006   11:19:14                  
3852 JAMESTOWN RD                    12/23/2006   12:29:56                  
44401 CHANTECLER CT                  12/23/2006   14:58:39                  
5153 XAVIER CO                       12/24/2006    1:04:38                  
2000 WALNUT AV                       12/24/2006    7:59:18                  
42803 VIA NAVARRA                    12/26/2006   16:15:09                  
43139 COIT AV                        12/26/2006   18:45:01                  
42229 CAMINO SANTA BARBARA           12/26/2006   20:45:44                  
43643 TONICA RD                      12/27/2006   17:30:06                  
3878 NORTHUMBERLAND TR               12/27/2006   18:02:25                  
34318 DUNHILL DR                     12/27/2006   17:40:02                  
36930 CABRILLO DR                    12/28/2006    7:59:00                  
46936 MASONIC TR                     12/28/2006    9:35:14                  
975 CURTNER RD                       12/28/2006   17:28:35                  
34617 WINSLOW TR                     12/29/2006   21:12:24                  
46422 PASEO PADRE PK                 12/30/2006   10:53:11                  
5405 DIANA CO                        12/30/2006   20:11:45                  
35609 POND DR                        12/31/2006   12:36:13                  
3111 EGGERS DR                       12/31/2006   15:10:13                  
35515 CABRILLO DR                    12/31/2006   17:24:21                  
                                                                            
IDENTITY THEFT                                                              
711 PRADERIA CI                      12/01/2006    0:00:00                  
43333 CHRISTY ST                     12/02/2006    0:00:00                  
32502 LAKE TANA ST                   12/03/2006    0:00:00                  
3036 MOUNTAIN DR                     12/03/2006    0:00:00                  
3213 CATTAIL CI                      12/04/2006    0:00:00                  
38185 HAMLIN ST                      12/04/2006    0:00:00                  
43321 BRYANT ST                      12/04/2006    0:00:00                  
2000 STEVENSON                       12/04/2006    0:00:00                  
3912 WASHINGTON BL                   12/05/2006    0:00:00                  
35661 TERRACE DR                     12/06/2006   15:08:39                  
43165 GALLEGOS AV                    12/05/2006    0:00:00                  
34798 PLATT RIVER PL                 12/06/2006    0:00:00                  
34252 NORTHWIND TR                   12/08/2006    9:44:48                  
3631 YORKTOWN RD                     12/08/2006    0:00:00                  
2000 STEVENSON BL                    12/11/2006    0:00:00                  
3751 KAY CT                          12/11/2006    0:00:00                  
2000 STEVENSON BL                    12/12/2006    9:26:32                  
3514 BIRCHWOOD TR                    12/12/2006   15:40:19                  
47669 FREMONT BL                     12/12/2006    0:00:00                  
2000 STEVENSON BL                    12/12/2006    0:00:00                  
35698 BALLANTINE PL                  12/13/2006    0:00:00                  
315 I ST                             12/13/2006    0:00:00                  
639 LONSDALE AVE                     12/14/2006   15:34:52                  
5072 AMBERWOOD DR                    12/14/2006    0:00:00                  
6000 MOWRY AV                        12/14/2006    0:00:00                  
4160 GREENLAND TR                    12/16/2006   13:27:09                  
NILES CANYON RD/ OLD CANYON RD       12/16/2006    0:00:00                  
41720 VAQUERO CT                     12/15/2006    0:00:00                  
3777 MOWRY AV                        12/17/2006    0:00:00                  
5532 BUTANO PARK DR                  12/18/2006    0:00:00                  
5256 PAXTON CT                       12/18/2006    0:00:00                  
34241 FREMONT BL                     12/18/2006    0:00:00                  
34143 ABERDEEN TR                    12/18/2006    0:00:00                  
43322 GRIMMER BL                     12/19/2006    0:00:00                  
1716 VANCOUVER GR                    12/19/2006    0:00:00                  
CAROL/ FREMONT                       12/20/2006    7:53:27                  
47900 BAYSIDE PK                     12/20/2006   10:16:48                  
2000 STEVENSON BL                    12/19/2006    0:00:00                  
151 HACKAMORE LN                     12/19/2006    0:00:00                  
40484 GRIMMER BL                     12/20/2006    0:00:00                  
33131 LAKE LANIER PL                 12/21/2006    0:00:00                  
38980 FREMONT BL                     12/22/2006    0:00:00                  
5408 SHATTUCK AV                     12/23/2006    0:00:00                  
38695 MOORE DR                       12/25/2006    0:00:00                  
3414 ELLERY CO                       12/26/2006    0:00:00                  
4619 NORWOOD TR                      12/27/2006   19:32:59                  
MOWRY AV/ OVERACKER AV               12/29/2006    6:53:47                  
36000 FREMONT BL                     12/29/2006    0:00:00                  
4234 WOODCREST DR                    12/29/2006    0:00:00                  
39337 MARIPOSA WY                    12/29/2006    0:00:00                  
3350 WHIMBREL CT                     12/29/2006    0:00:00                  
5169 KEYSTONE DR                     12/30/2006    0:00:00                  
3272 ALPINE DR                       12/30/2006    0:00:00                  
4135 SEDGE ST                        12/30/2006    0:00:00                  
                                                                            
STOLEN VEHICLE                                                              
4555 THORNTON AV                     12/01/2006   10:10:45                  
5285 BROPHY DR                       12/02/2006    0:19:04                  
42617 ROBERTS AV                     12/02/2006    6:17:35                  
4390 BIDWELL DR                      12/02/2006    8:15:21                  
4140 IRVINGTON AV                    12/02/2006   11:33:09                  
43330 PACIFIC COMMONS BL             12/02/2006   21:52:45                  
39639 LESLIE ST                      12/04/2006    8:55:43                  
39800 FREMONT BL                     12/04/2006   21:19:35                  
41386 FREMONT BL                     12/05/2006    1:21:02                  
39029 GUARDINO DR                    12/05/2006    7:33:36                  
4555 THORNTON AV                     12/06/2006    7:30:18                  
CENTRAL AV/ DUSTERBERRY WY           12/06/2006   16:21:49                  
36838 LIMETA TR                      12/06/2006   19:50:50                  
4840 DAVENPORT PL                    12/07/2006   15:16:46                  
46650 MOHAVE DR                      12/07/2006   19:12:16                  
3344 GRAND LAKE DR                   12/07/2006   19:32:20                  
37916 3RD ST                         12/08/2006    6:40:40                  
34411 DOBSON WY                      12/08/2006    7:04:06                  
4067 BELL TR                         12/08/2006    9:07:26                  
40455 CHAPEL WY                      12/08/2006    9:07:04                  
35872 LINDA DR                       12/08/2006   11:51:51                  
4343 CRESTWOOD ST                    12/08/2006   14:02:32                  
39136 PASEO PADRE PK                 12/09/2006   23:53:01                  
CHAPEL WY/ MAX DR                    12/09/2006   11:02:51                  
4240 ALDER AV                        12/09/2006   11:05:30                  
4140 IRVINGTON AV                    12/09/2006   11:44:35                  
39139 FARWELL DR                     12/09/2006   21:57:36                  
228 HACKAMORE CO                     12/10/2006    7:17:09                  
405 RANCHO ARROYO PK                 12/10/2006   11:08:24                  
38696 HUNTINGTON CI                  12/10/2006   12:06:27                  
39503 ROSS CO                        12/10/2006   13:41:37                  
3345 SELDON CT                       12/11/2006    7:09:23                  
36789 SAN PEDRO DR                   12/11/2006   13:05:28                  
3600 PENNSYLVANIA AV                 12/12/2006   10:38:57                  
37293 FLIN CO                        12/13/2006   20:21:00                  
6700 STEVENSON BL                    12/14/2006   11:34:07                  
47168 MALE TR                        12/14/2006   10:20:41                  
41531 ERMA AV                        12/15/2006    7:32:22                  
252 TONOPAH DR                       12/15/2006    5:59:34                  
33178 GREAT SALT LAKE DR             12/15/2006   16:13:38                  
4071 PARK CENTER LN                  12/16/2006   17:01:30                  
BLACOW RD/ CENTRAL AV                12/16/2006   22:44:51                  
