FREMONT COMMUNITY CRIME STATS                           
OCTOBER 1, 2006 - OCTOBER 31, 2006                      
                                                        
                                                        
               Location                  Reported Date  Reported Time
47237 RANCHO HIGUERA RD                       10/31/2006     13:04:46
47087 BENNS TR                                10/31/2006     16:35:09
47134 MORSE TR                                10/31/2006     17:08:30
46325 SENTINEL DR                             10/31/2006     18:58:58
5418 ONTARIO CO                               10/31/2006     20:24:45
                                                        
IDENTITY THEFT                                          
52 DELTA TR                                   10/03/2006     15:16:43
3110 OSGOOD CT                                10/03/2006      0:00:00
43800 OSGOOD RD                               10/04/2006     15:15:47
44755 S GRIMMER BL                            10/04/2006      0:00:00
39450 FREMONT BL                              10/04/2006      0:00:00
45961 WARM SPRINGS BL                         10/04/2006      0:00:00
4875 MOWRY AV                                 10/04/2006      0:00:00
2600 MOWRY AV                                 10/08/2006     13:01:30
1180 SUNRISE DR                               10/07/2006      0:00:00
449 MAAR AV                                   10/09/2006      0:00:00
34769 MONACO CO                               10/09/2006      0:00:00
2000 STEVENSON BL                             10/10/2006      0:00:00
39505 TRINITY WY                              10/10/2006      0:00:00
4445 STEVENSON BL                             10/11/2006      0:00:00
2000 STEVENSON BL                             10/11/2006      0:00:00
39426 BLUE FIN WY                             10/13/2006     11:04:10
2000 STEVENSON BL                             10/12/2006      0:00:00
3909 STEVENSON BL                             10/12/2006      0:00:00
43360 MISSION BL                              10/13/2006      0:00:00
36522 BEDELIO TR                              10/14/2006      0:00:00
42245 FREMONT BL                              10/16/2006      9:37:23
46200 LANDING PK                              10/16/2006     19:13:13
43465 BANDA TR                                10/16/2006      0:00:00
1993 VINEHILL CI                              10/16/2006      0:00:00
32535 LAKE BARLEE LN                          10/16/2006      0:00:00
40405 LA JOLLA CT                             10/16/2006      0:00:00
36025 EASTERDAY WY                            10/17/2006     20:37:50
4771 THORNTON AV                              10/18/2006      9:36:23
280 YERBA BUENA PL                            10/18/2006      0:00:00
2000 WALNUT AV                                10/19/2006      0:00:00
919 MOWRY AV                                  10/21/2006      0:00:00
3781 MONTE SERENO TR                          10/20/2006      0:00:00
23882 HESPERIAN                               10/24/2006      0:00:00
41700 GRIMMER BL                              10/25/2006     14:36:27
457 CALISTOGA CI                              10/24/2006      0:00:00
38817 STILLWATER CO                           10/24/2006      0:00:00
47112 WARM SPRINGS BL                         10/25/2006      0:00:00
40416 LANDON AV                               10/25/2006      0:00:00
41299 PASEO PADRE PK                          10/27/2006     11:37:27
44875 INDUSTRIAL DR                           10/26/2006      0:00:00
34624 CREEKWOOD TR                            10/26/2006      0:00:00
3615 DICKENSON CO                             10/27/2006      0:00:00
37813 LAURUS CT                               10/30/2006     11:43:15
43621 PACIFIC COMMONS BL                      10/30/2006     17:27:41
2000 STEVENSON BL                             10/31/2006      0:00:00
                                                        
STOLEN VEHICLE                                          
615 BARCELONA DR                              10/01/2006     10:15:53
39800 FREMONT BL                              10/01/2006     11:55:48
35429 ROCA DR                                 10/01/2006     13:58:35
3830 VILLAGE TR                               10/01/2006     14:06:02
39800 FREMONT BL                              10/02/2006      4:02:51
40577 ALBRAE ST                               10/03/2006      7:43:49
38623 FREMONT BL                              10/03/2006     12:04:43
34701 ARDENWOOD BL                            10/03/2006     18:28:10
CABRILLO TR/ ROTHBURY CO                      10/04/2006      0:38:02
3840 JAMESTOWN RD                             10/04/2006     14:14:55
3852 JERSEY RD                                10/04/2006     15:30:39
2000 MOWRY AV                                 10/04/2006     19:50:52
4498 DOANE ST                                 10/05/2006      6:55:35
4118 ROSALITA CT                              10/05/2006      7:19:50
47495 MANTIS ST                               10/05/2006     12:42:49
4925 HANSEN AV                                10/06/2006      7:42:06
39105 SERRA PL                                10/06/2006      7:51:50
3878 VILLAGE TR                               10/06/2006      9:02:26
327 RIVERSIDE AV                              10/06/2006     10:47:49
37500 CENTRALMONT PL                          10/08/2006      5:53:52
9899 MACARTHUR BLVD                           10/09/2006     18:21:54
405 RANCHO ARROYO PK                          10/09/2006     17:40:27
38329 FARWELL DR                              10/09/2006     19:27:58
4546 BARTOLO TR                               10/10/2006      6:54:18
34472 RAINDEER CT                             10/10/2006      7:13:54
405 RANCHO ARROYO PK                          10/11/2006      3:06:04
41031 FREMONT BL                              10/15/2006     21:39:55
36000 FREMONT BL                              10/15/2006     23:42:05
43168 LINDENWOOD ST                           10/16/2006      7:11:40
3645 CHAUCER DR                               10/16/2006      7:39:39
34047 FREMONT BL                              10/16/2006     10:04:38
4113 JAMAICA TR                               10/16/2006     18:51:44
37138 DONDERO WY                              10/17/2006     22:59:52
4040 CLIPPER CT                               10/18/2006      6:46:10
3248 LAKE PILLSBURY DR                        10/18/2006      9:50:27
4319 HARDWOOD ST                              10/18/2006     18:29:13
4968 COCO PALM DR                             10/19/2006      4:02:53
36233 PIZARRO DR                              10/19/2006      5:49:29
43621 PACIFIC COMMONS BL                      10/19/2006     15:54:28
39170 ARGONAUT WY                             10/19/2006     17:14:33
34347 EUCALYPTUS TR                           10/19/2006     22:52:21
4941 MATTOS DR                                10/20/2006      0:22:43
38334 KIMBRO ST                               10/20/2006      4:59:28
37153 ELM ST                                  10/20/2006      7:06:00
3775 COUNTRY DR                               10/21/2006     21:54:31
1440 MOWRY AV                                 10/22/2006      9:14:58
3770 KVISTAD DR                               10/22/2006     12:55:26
CENTRAL AV/ DUSTERBERRY WY                    10/22/2006     18:24:23
2451 REGAL DR                                 10/22/2006     18:24:23
2994 CHESWYCKE TR                             10/23/2006      7:34:06
4250 CENTRAL AV                               10/24/2006     14:01:37
2600 MOWRY AV                                 10/24/2006     17:13:16
43612 PACIFIC COMMONS BL                      10/25/2006     17:49:28
4444 HANSEN AV                                10/27/2006     15:36:26
40559 VERNE ST                                10/30/2006      7:15:36
41222 MALCOLMSON ST                           10/30/2006     12:48:09
42764 BOSCELL RD                              10/31/2006      7:50:27
41567 HOOPER ST                               10/31/2006      8:14:20
4120 JAMAICA TR                               10/31/2006     12:58:00
41655 OSGOOD RD                               10/31/2006     16:59:48
                                                        
ROBERRY                                                 
5720 CUSHING PK                               10/01/2006      6:13:10
34077 PASEO PADRE PK                          10/04/2006     10:28:27
39639 LESLIE ST                               10/05/2006     23:06:39
43411 GRIMMER BL                              10/06/2006     20:56:36
39505 SUNDALE DR                              10/07/2006     17:19:48
FREMONT BL/ THORNTON AV                       10/09/2006     19:48:53
2000 DRISCOLL RD                              10/09/2006     21:14:59
40055 MISSION BL                              10/11/2006     22:33:33
42200 ALBRAE ST                               10/11/2006     22:35:37
41080 TRIMBOLI WY                             10/12/2006     21:01:46
34420 FREMONT BL                              10/13/2006     10:54:16
40733 CHAPEL WY                               10/13/2006     17:42:44
LAKE ARROWHEAD AV/ SHAVER LAKE ST             10/14/2006      1:43:35
35820 FREMONT BL                              10/15/2006     14:30:03
36300 FREMONT BL                              10/15/2006     22:31:19
FREMONT BL/ SUNDALE DR                        10/16/2006     20:16:13
HALL WY/ PASEO PADRE PK                       10/17/2006     10:52:35
39441 FREMONT BL                              10/17/2006     22:36:34
4185 CUSHING PK                               10/19/2006     18:27:00
5515 AUTO MALL PK                             10/26/2006      3:52:24
5155 DEEP CREEK RD                            10/26/2006     20:39:58
HAMMER TR/ SIWARD DR                          10/27/2006     20:06:05
38442 FREMONT BL                              10/28/2006     21:59:30
MISSION BL/ MOWRY AV                          10/29/2006      5:58:09
ALDER AV/ CORONADO DR                         10/30/2006     17:48:44
4380 THORNTON AV                              10/30/2006     21:08:00
5001 DEEP CREEK RD                            10/31/2006     21:42:36
CORONADO DR/ PORTOLA DR                       10/31/2006     21:58:29
