# This list of grammars gets inserted into the Java source code.
# See the indicated URLs for documentation.
# Although we don't use the URLs anymore in the program (the CGI version used
# to let you jump to the page, but that created too many complications for
# the non-CGI version) we'll leave the URLs in anyway, just for documentation.
#
# It's ok to edit this file as long as you retain the existing format,
# and in particular:
# 1. Put an exclamation mark between fields.
# 2. Do not put exclamation marks anywhere else.
# 3. Put comments (such as this line) after a # sign.
#
# Name                                       LU      ave. duration   url
#
"English.SouthAfrica dates"!    2.50!    2.69! "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"
"English.SouthAfrica credit card numbers"!    2.18!    8.10! "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"
"English.SouthAfrica telephone numbers"!    3.00!    4.05! "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"
"English.SouthAfrica broad yes/no"!    2.42!    1.78! "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"

"English.UK narrow yes/no"!                   1.08!     1.10!   "http://intranet.nuance.com/provisioning/uk/narrow-yes-no.html"
"English.UK 9-long discrete digit strings"!   1.37!     5.61!  "http://intranet.nuance.com/provisioning/uk/nine-digit.html"

"French.Canada 7-digit strings"!              1.24!     3.64!  "http://intranet/provisioning/quebec/digits.html"
"French.Canada 10-digit strings"!             1.24!     5.40!  "http://intranet/provisioning/quebec/digits.html"
"French.Canada 16-digit strings"!             1.24!     8.32!  "http://intranet/provisioning/quebec/digits.html"
"French.Canada narrow oui/non"!               1.09!     1.11!  "http://intranet/provisioning/quebec/oui-non.html"
"French.Canada wide-coverage dates"!          1.62!     1.95!  "http://intranet/provisioning/quebec/date.html"
"French.Canada 760 cities"!                   4.71!     1.98!  "http://intranet/provisioning/quebec/city.html"
"French.Canada 6,985 companies"!              7.84!     2.33!  "http://intranet/provisioning/quebec/company.html"

"German 436 names"!                           2.34!     3.35!  "http://intranet/provisioning/germany/name.html"
"German 16-digit natural numbers"!            1.77!    10.83!  "http://intranet/provisioning/germany/digit16.html"

"Italian 238 cities"!                         1.84!     3.40!  "http://intranet.nuance.com/provisioning/italian/cities.html"
"Italian 9300 cities"!                        7.18!     3.09!  "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"
"Italian dates"!                              1.34!     5.37!  "http://intranet.nuance.com/provisioning/italian/date.html"
"Italian money"!                              1.77!     4.86!  "http://intranet.nuance.com/provisioning/italian/money.html"
"Italian broad yes/no"!                       0.72!     3.02!  "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"

"Japanese broad yes/no"!                      1.08!     1.02!  "http://intranet/provisioning/japanese/yesno.html"
"Japanese 10-digit phone numbers"!            2.22!     7.88!  "http://intranet/provisioning/japanese/phonenumbers.html"
"Japanese dates"!                             1.39!     3.44!  "http://intranet/provisioning/japanese/date.html"
"Japanese 11,000 family names"!               5.74!     1.59!  "http://intranet.nuance.com/provisioning/japanese/people-names.html"
"Japanese 3875 train station names"!    4.95!    1.76!        "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"
"Japanese 1690 company names"!    3.70!    1.61!              "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"
"Japanese credit card numbers"!    1.47!    7.92!             "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"

"Mandarin broad yes/no"!                      1.00!     1.09!  "http://intranet.nuance.com/provisioning/mandarin/yesno.html"
"Mandarin 7-long discrete digit strings"!     2.49!     2.38!  "http://intranet.nuance.com/provisioning/mandarin/digit-7.html"
"Mandarin dates"!                             1.31!     2.56!  "http://intranet.nuance.com/provisioning/mandarin/date.html"
"Mandarin 466 place names"!                   2.50!     1.19!  "http://intranet.nuance.com/provisioning/mandarin/place.html"

"Norwegian 30 command words"!     1.07!    2.47! "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"    
"Norwegian 1020 cities     "!     3.75!    2.58! "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"    
"Norwegian dates           "!     3.05!    4.91! "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"    
#"Norwegian digits         "!     1.73!   11.68! "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"    
#"Norwegian misc numbers   "!     7.13!    5.91!  (phone, credit card, natural 3,4&5-digit numbers)
"Norwegian single digits   "!     0.92!    2.24! "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"    
"Norwegian broad yes/no    "!     0.61!    2.44! "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"    
"Norwegian telephone numbers "!   3.83!    6.59! "http://intranet.nuance.com/provisioning/rosaria-benchmarks.txt"    

"Portuguese.Brazil 16-long discrete digit strings"!   2.31!     9.26!  "http://intranet.nuance.com/provisioning/brazil/discrete-digit16.html"
